"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"1.2 to 5.5","Range of Values",6377,6377,NA
".","Missing",540,6917,NA
