"DR1TFA.Code.or.Value","DR1TFA.Value.Description","DR1TFA.Count","DR1TFA.Cumulative","DR1TFA.Skip.to.Item"
"0 to 2828","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
