"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",4529,4529,""
"2","Lite salt",226,4755,""
"3","Salt substitute",77,4832,""
"4","Doesn't use or add salt products at the table",3645,8477,"DRQSPREP"
"91","Other",8,8485,""
"99","Don't know",133,8618,"DRQSPREP"
".","Missing",720,9338,""
