"SSII4NO1.Code.or.Value","SSII4NO1.Value.Description","SSII4NO1.Count","SSII4NO1.Cumulative","SSII4NO1.Skip.to.Item"
"0 to 3.5","Range of Values",921,921,NA
".","Missing",25,946,NA
