"CBD090.Code.or.Value","CBD090.Value.Description","CBD090.Count","CBD090.Cumulative","CBD090.Skip.to.Item"
"0 to 1071","Range of Values",9795,9795,NA
"777777","Refused",17,9812,NA
"999999","Don't know",209,10021,NA
".","Missing",128,10149,NA
