"MCQ240l.Code.or.Value","MCQ240l.Value.Description","MCQ240l.Count","MCQ240l.Cumulative","MCQ240l.Skip.to.Item"
"9 to 75","Range of Values",5,5,NA
"80","80 years or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",0,5,NA
".","Missing",9765,9770,NA
