"OPDDPPA.Code.or.Value","OPDDPPA.Value.Description","OPDDPPA.Count","OPDDPPA.Cumulative","OPDDPPA.Skip.to.Item"
"0","No",2234,2234,NA
"1","Questionable",54,2288,NA
"2","Yes",149,2437,NA
".","Missing",497,2934,NA
