"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",240,240,"MCQ180C"
"2","No",5131,5371,""
"7","Refused",1,5372,""
"9","Don't know",38,5410,""
".","Missing",5060,10470,""
