"URXOP4.Code.or.Value","URXOP4.Value.Description","URXOP4.Count","URXOP4.Cumulative","URXOP4.Skip.to.Item"
"0.4 to 42.72","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
