"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"32 to 144","Range of Values",7361,7361,NA
".","Missing",2282,9643,NA
