"LBCD07LA.Code.or.Value","LBCD07LA.Value.Description","LBCD07LA.Count","LBCD07LA.Cumulative","LBCD07LA.Skip.to.Item"
"62.8 to 1350","Range of Values",246,246,NA
".","Missing",1,247,NA
