"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",1184,1184,NA
"77","Refused",1,1185,NA
"99","Don't know",1,1186,NA
".","Missing",5794,6980,NA
