"CIQG03.Code.or.Value","CIQG03.Value.Description","CIQG03.Count","CIQG03.Cumulative","CIQG03.Skip.to.Item"
"1 to 12","Range of Values",133,133,NA
"77","Refused",0,133,NA
"99","Don't know",2,135,NA
".","Missing",643,778,NA
