"WBXA011.Code.or.Value","WBXA011.Value.Description","WBXA011.Count","WBXA011.Cumulative","WBXA011.Skip.to.Item"
"-20.4315 to 0.9984","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
