"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",1859,1859,""
"2","No",3918,5777,"WHQ090"
"7","Refused",1,5778,"WHQ090"
"9","Don't know",2,5780,"WHQ090"
".","Missing",766,6546,""
