"URDPPBLC.Code.or.Value","URDPPBLC.Value.Description","URDPPBLC.Count","URDPPBLC.Cumulative","URDPPBLC.Skip.to.Item"
"0","At or above the detection limit",2655,2655,NA
"1","Below lower detection limit",31,2686,NA
".","Missing",91,2777,NA
