"LBXSF5SI.Code.or.Value","LBXSF5SI.Value.Description","LBXSF5SI.Count","LBXSF5SI.Cumulative","LBXSF5SI.Skip.to.Item"
"0.141 to 7.13","Range of Values",8057,8057,NA
".","Missing",1108,9165,NA
