"WBXA058.Code.or.Value","WBXA058.Value.Description","WBXA058.Count","WBXA058.Cumulative","WBXA058.Skip.to.Item"
"-5.7405 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
