"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"68 to 226","Range of Values",5658,5658,NA
".","Missing",3985,9643,NA
