"ACD011A.Code.or.Value","ACD011A.Value.Description","ACD011A.Count","ACD011A.Cumulative","ACD011A.Skip.to.Item"
"1","English",5759,5759,NA
"77","Refused",0,5759,NA
"99","Don't know",0,5759,NA
".","Missing",3471,9230,NA
