"VIXOLCM.Code.or.Value","VIXOLCM.Value.Description","VIXOLCM.Count","VIXOLCM.Cumulative","VIXOLCM.Skip.to.Item"
"0 to 8","Range of Values",6787,6787,NA
"88","Could not obtain",224,7011,NA
".","Missing",434,7445,NA
