"DR2IS040.Code.or.Value","DR2IS040.Value.Description","DR2IS040.Count","DR2IS040.Cumulative","DR2IS040.Skip.to.Item"
"0 to 4.863","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
