"LBXFER.Code.or.Value","LBXFER.Value.Description","LBXFER.Count","LBXFER.Cumulative","LBXFER.Skip.to.Item"
"1.84 to 2300","Range of Values",2684,2684,NA
".","Missing",568,3252,NA
