"VIXKRM1.Code.or.Value","VIXKRM1.Value.Description","VIXKRM1.Count","VIXKRM1.Cumulative","VIXKRM1.Skip.to.Item"
"6.51 to 9.68","Range of Values",6969,6969,NA
"88","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
