"DBD055.Code.or.Value","DBD055.Value.Description","DBD055.Count","DBD055.Cumulative","DBD055.Skip.to.Item"
"1 to 730","Range of Values",1400,1400,NA
"0","Never",116,1516,NA
"666666","More than 730 days (2-year) old",9,1525,NA
"777777","Refused",0,1525,NA
"999999","Don't know",14,1539,NA
".","Missing",7715,9254,NA
