"RFXT039.Code.or.Value","RFXT039.Value.Description","RFXT039.Count","RFXT039.Cumulative","RFXT039.Skip.to.Item"
"327 to 336","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
