"PAXFTIME.Code.or.Value","PAXFTIME.Value.Description","PAXFTIME.Count","PAXFTIME.Cumulative","PAXFTIME.Skip.to.Item"
"First data timestamp in GT3X (HH:MM:SS)","Value was recorded",6917,6917,NA
"< blank >","Missing",904,7821,NA
