"DSQTIRON.Code.or.Value","DSQTIRON.Value.Description","DSQTIRON.Count","DSQTIRON.Cumulative","DSQTIRON.Skip.to.Item"
"0.0004 to 195","Range of Values",1249,1249,NA
".","Missing",8507,9756,NA
