"OHAROCDT.Code.or.Value","OHAROCDT.Value.Description","OHAROCDT.Count","OHAROCDT.Cumulative","OHAROCDT.Skip.to.Item"
"1","Yes",2204,2204,NA
"2","No",7,2211,NA
".","Missing",6954,9165,NA
