"OPDSSWR.Code.or.Value","OPDSSWR.Value.Description","OPDSSWR.Count","OPDSSWR.Cumulative","OPDSSWR.Skip.to.Item"
"0","No",2015,2015,NA
"1","Questionable",42,2057,NA
"2","Yes",301,2358,NA
"3","Yes, in center",24,2382,NA
".","Missing",552,2934,NA
