"DSQIVB6.Code.or.Value","DSQIVB6.Value.Description","DSQIVB6.Count","DSQIVB6.Cumulative","DSQIVB6.Skip.to.Item"
"0.002 to 10000","Range of Values",2908,2908,NA
".","Missing",6209,9117,NA
