"DXXNKBMC.Code.or.Value","DXXNKBMC.Value.Description","DXXNKBMC.Count","DXXNKBMC.Cumulative","DXXNKBMC.Skip.to.Item"
"1.42 to 10.08","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
