"DR1IVB6.Code.or.Value","DR1IVB6.Value.Description","DR1IVB6.Count","DR1IVB6.Cumulative","DR1IVB6.Skip.to.Item"
"0 to 14.33","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
