"URDMADLC.Code.or.Value","URDMADLC.Value.Description","URDMADLC.Count","URDMADLC.Cumulative","URDMADLC.Skip.to.Item"
"0","At or above the detection limit",3133,3133,NA
"1","Below lower detection limit",36,3169,NA
".","Missing",148,3317,NA
