"LBDSALSI.Code.or.Value","LBDSALSI.Value.Description","LBDSALSI.Count","LBDSALSI.Cumulative","LBDSALSI.Skip.to.Item"
"24 to 56","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
