"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 3.296","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
