"LBCTCDLA.Code.or.Value","LBCTCDLA.Value.Description","LBCTCDLA.Count","LBCTCDLA.Cumulative","LBCTCDLA.Skip.to.Item"
"0.155 to 7.49","Range of Values",247,247,NA
".","Missing",17,264,NA
