"WBXA051.Code.or.Value","WBXA051.Value.Description","WBXA051.Count","WBXA051.Cumulative","WBXA051.Skip.to.Item"
"-3.0747 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
