"OSD030cb.Code.or.Value","OSD030cb.Value.Description","OSD030cb.Count","OSD030cb.Cumulative","OSD030cb.Skip.to.Item"
"9 to 53","Range of Values",7,7,NA
"85","85 or older",0,7,NA
"77777","Refused",0,7,NA
"99999","Don't know",0,7,NA
".","Missing",4873,4880,NA
