"BMISUB.Code.or.Value","BMISUB.Value.Description","BMISUB.Count","BMISUB.Cumulative","BMISUB.Skip.to.Item"
"1","Could not obtain",1666,1666,NA
"2","Exceeds capacity",111,1777,NA
"3","Hard to obtain",0,1777,NA
".","Missing",8700,10477,NA
