"OSQ040cb.Code.or.Value","OSQ040cb.Value.Description","OSQ040cb.Count","OSQ040cb.Cumulative","OSQ040cb.Skip.to.Item"
"1","Under 50 years old, or",6,6,"OSQ025"
"2","50 years old or older?",1,7,""
"7","Refused",0,7,"OSQ025"
"9","Don't know",0,7,"OSQ025"
".","Missing",4873,4880,""
