"DXXPEA.Code.or.Value","DXXPEA.Value.Description","DXXPEA.Count","DXXPEA.Cumulative","DXXPEA.Skip.to.Item"
"69.76 to 358.94","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
