"RFXC110.Code.or.Value","RFXC110.Value.Description","RFXC110.Count","RFXC110.Cumulative","RFXC110.Skip.to.Item"
"-7.282 to 5.493","Range of Values",51059,51059,NA
".","Missing",17,51076,NA
