"CSQ020.Code.or.Value","CSQ020.Value.Description","CSQ020.Count","CSQ020.Cumulative","CSQ020.Skip.to.Item"
"1","Better Now",216,216,NA
"2","Worse Now",586,802,NA
"3","No Change",2788,3590,NA
"7","Refused",1,3591,NA
"9","Don't know",12,3603,NA
".","Missing",0,3603,NA
