"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 90","Range of Values",1945,1945,NA
"7777","Refused",0,1945,NA
"9999","Don't know",0,1945,NA
".","Missing",3357,5302,NA
