"LBXVBM.Code.or.Value","LBXVBM.Value.Description","LBXVBM.Count","LBXVBM.Cumulative","LBXVBM.Skip.to.Item"
"0.438 to 84.1","Range of Values",3275,3275,NA
".","Missing",470,3745,NA
