"DSQIVB1.Code.or.Value","DSQIVB1.Value.Description","DSQIVB1.Count","DSQIVB1.Cumulative","DSQIVB1.Skip.to.Item"
"0.066 to 1500","Range of Values",2128,2128,NA
".","Missing",6141,8269,NA
