"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 21900","Range of Values",13355,13355,NA
"77777","Refused",0,13355,NA
"99999","Don't know",219,13574,NA
".","Missing",6073,19647,NA
