"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"494.9747 to 821000","Range of Values",7697,7697,NA
".","Missing",389,8086,NA
