"LBCF03LA.Code.or.Value","LBCF03LA.Value.Description","LBCF03LA.Count","LBCF03LA.Cumulative","LBCF03LA.Skip.to.Item"
"0.226 to 20","Range of Values",246,246,NA
".","Missing",1,247,NA
