"URXMU7.Code.or.Value","URXMU7.Value.Description","URXMU7.Count","URXMU7.Cumulative","URXMU7.Skip.to.Item"
"0.004 to 47.1","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
