"LBXEND.Code.or.Value","LBXEND.Value.Description","LBXEND.Count","LBXEND.Cumulative","LBXEND.Skip.to.Item"
"0.0062 to 0.0383","Range of Values",1825,1825,NA
".","Missing",512,2337,NA
