"DRXTM221.Code.or.Value","DRXTM221.Value.Description","DRXTM221.Count","DRXTM221.Cumulative","DRXTM221.Skip.to.Item"
"0 to 5.07","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
