"PFD069D.Code.or.Value","PFD069D.Value.Description","PFD069D.Count","PFD069D.Cumulative","PFD069D.Skip.to.Item"
"61 to 29220","Range of Values",171,171,NA
"66666","Since birth",13,184,NA
"77777","Refused",0,184,NA
"99999","Don't know",2,186,NA
".","Missing",9636,9822,NA
