"LBXLUZ.Code.or.Value","LBXLUZ.Value.Description","LBXLUZ.Count","LBXLUZ.Cumulative","LBXLUZ.Skip.to.Item"
"2.5 to 85","Range of Values",8342,8342,NA
"1.7","Fill Value of Limit of Detection",11,8353,NA
".","Missing",909,9262,NA
