"URDFLOW1.Code.or.Value","URDFLOW1.Value.Description","URDFLOW1.Count","URDFLOW1.Cumulative","URDFLOW1.Skip.to.Item"
"0 to 39.8","Range of Values",7727,7727,NA
".","Missing",864,8591,NA
