"DS2AN.Code.or.Value","DS2AN.Value.Description","DS2AN.Count","DS2AN.Cumulative","DS2AN.Skip.to.Item"
"1","Yes",105,105,NA
"2","No",6527,6632,NA
"7","Refused",0,6632,NA
"9","Don't know",0,6632,NA
".","Missing",2072,8704,NA
