"CBD625.Code.or.Value","CBD625.Value.Description","CBD625.Count","CBD625.Cumulative","CBD625.Skip.to.Item"
"0 to 50","Range of Values",3659,3659,NA
"77777777","Refused",0,3659,NA
"99999999","Don't know",189,3848,NA
".","Missing",2551,6399,NA
