"WHD080S.Code.or.Value","WHD080S.Value.Description","WHD080S.Count","WHD080S.Cumulative","WHD080S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",12,12,NA
".","Missing",6127,6139,NA
