"WTSAU39.Code.or.Value","WTSAU39.Value.Description","WTSAU39.Count","WTSAU39.Cumulative","WTSAU39.Skip.to.Item"
"0 to 476546.67126","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
