"DSQICAFF.Code.or.Value","DSQICAFF.Value.Description","DSQICAFF.Count","DSQICAFF.Cumulative","DSQICAFF.Skip.to.Item"
"50 to 400","Range of Values",30,30,NA
".","Missing",9529,9559,NA
