"DS1TFIBE.Code.or.Value","DS1TFIBE.Value.Description","DS1TFIBE.Count","DS1TFIBE.Cumulative","DS1TFIBE.Skip.to.Item"
"0.1 to 167","Range of Values",172,172,NA
".","Missing",9590,9762,NA
