"SSBCPP.Code.or.Value","SSBCPP.Value.Description","SSBCPP.Count","SSBCPP.Cumulative","SSBCPP.Skip.to.Item"
"0.071 to 17.9","Range of Values",2038,2038,NA
".","Missing",16,2054,NA
