"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 62.199","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
